adolescent,ad________nt,/ˌædəˈlesnt/,"[sound:adolescent noun - Definition, pictures, pronunciation and usage notes _ Oxford Advanced Learner_apos;s Dictionary a.mp3]","teenager<div><i><font color=""#0000ff"">(người thiếu niên)</font></i></div>",<div>adolescents between the ages of 13 and 18 and the problems they face</div><div>Stop acting like an adolescent!</div>,"<img src=""adolescent-1.jpg"" />","<img src=""paste-8757438316545 (1).jpg"" />"
characteristic,ch__________ic,&nbsp;/ˌkærəktəˈrɪstɪk/&nbsp;,"[sound:characteristic noun - Definition, pictures, pronunciation and usage notes _ Oxford Advanced Learner_apos;s Dictiona.mp3]","a typical feature or quality that something/somebody has&nbsp;<div><i><font color=""#0000ff"">(đặc tính, đặc điểm)</font></i></div>","<div>The two groups of children have quite different characteristics.</div><div>Personal characteristics, such as age and sex are taken into account.</div>","<img src=""rabbit_characteristics_poster_460_0.jpg"" />","<img src=""paste-9410273345537.jpg"" />"
trait,t___it,/treɪt/&nbsp;,"[sound:trait noun - Definition, pictures, pronunciation and usage notes _ Oxford Advanced Learner_apos;s Dictionary at Oxf.mp3]","a particular quality in your personality&nbsp;<div><i><font color=""#0000ff"">(nét, đặc điểm)</font></i></div>",<div>personality traits (nét tính cách)</div><div>Awareness of class is a typically British trait.</div><div>She shares several character traits with her father.</div>,"<img src=""paste-9835475107841.jpg"" />","<img src=""paste-9848360009729 (1).jpg"" />"
apprehensive,ap_________ive,/ˌæprɪˈhensɪv/,"[sound:apprehensive adjective - Definition, pictures, pronunciation and usage notes _ Oxford Advanced Learner_apos;s Dicti.mp3]","worried or frightened that something unpleasant may happen&nbsp;<div><i><font color=""#0000ff"">(sợ hãi, e sợ)</font></i></div>",<div>an apprehensive face/glance/look</div><div>She was deeply apprehensive that something might go wrong.</div><div>You have no reason to be apprehensive of the future.</div>,"<img src=""51a7263146c4750872c2a6ba587eea09.jpg"" />","<img src=""paste-10299331575809.jpg"" />"
assertive,as______ve,/əˈsɜːrtɪv/,"[sound:assertive adjective - Definition, pictures, pronunciation and usage notes _ Oxford Advanced Learner_apos;s Dictiona.mp3]","<div>expressing opinions or desires strongly and with confidence, so that people take notice&nbsp;</div><div><i><font color=""#0000ff"">(khẳng định, quả quyết, quyết đoán)</font></i></div>",<div>You should try and be more assertive.</div><div>assertive behaviour</div>,"<img src=""Assertiveness-boundaries.png"" />","<img src=""paste-10733123272705.jpg"" />"
clumsy,cl_____y,/ˈklʌmzi/,"[sound:clumsy adjective - Definition, pictures, pronunciation and usage notes _ Oxford Advanced Learner_apos;s Dictionary .mp3]","(of people and animals) moving or doing things in a very awkward way&nbsp;<div><i><font color=""#0000ff"">(vụng, vụng về, lóng ngóng)</font></i></div>",<div>I spilt your coffee. Sorry—that was clumsy of me.</div><div>His clumsy fingers couldn't untie the knot.</div>,"<img src=""6360600899714255411708016269_635999122096879989-1793753633_clumsy.jpg"" />","<img src=""paste-11252814315521.jpg"" />"
cynical,cy____al,/ˈsɪnɪkl/,"[sound:cynical adjective - Definition, pictures, pronunciation and usage notes _ Oxford Advanced Learner_apos;s Dictionary.mp3]","<div>not believing that something good will happen&nbsp;<div><i><font color=""#0000ff"">(hay hoài nghi)</font></i></div></div>",<div>Do you have to be so cynical about everything?</div><div>a cynical view/smile</div><div>I'm a bit cynical about the benefits of the plan.</div>,"<img src=""cynical.jpg"" />","<img src=""paste-14817637171201.jpg"" />"
desirable,de_____ble,&nbsp;/dɪˈzaɪərəbl/&nbsp;,"[sound:desirable adjective - Definition, pictures, pronunciation and usage notes _ Oxford Advanced Learner_apos;s Dictiona.mp3]","that you would like to have or do; worth having or doing&nbsp;<div><i><font color=""#0000ff"">(đáng thèm muốn; đáng ao ước, đáng khát khao)</font></i></div>",She chatted for a few minutes about the qualities she considered desirable in a secretary.<div>The house has many desirable features.</div>,"<img src=""paste-15191299325953.jpg"" />","<img src=""paste-15204184227841.jpg"" />"
eccentric,ecc_____ic,/ɪkˈsentrɪk/&nbsp;,"[sound:eccentric noun - Definition, pictures, pronunciation and usage notes _ Oxford Advanced Learner_apos;s Dictionary at.mp3]","a person who is considered by other people to be strange or unusual&nbsp;<div><i><font color=""#0000ff"">(lập dị, kỳ cục)</font></i></div>",<div>Most people considered him a harmless eccentric.</div><div>Aunt Matilda was something of an eccentric.</div>,"<img src=""windmill beard.jpg"" />","<img src=""paste-15882789060609.jpg"" />"
egotistical,eg_______al,ˌēɡəˈtistək(ə)l/,[sound:egotistical.MP3],"thinking that you are better or more important than anyone else&nbsp;<div><i><font color=""#0000ff"">(tự cao tự đại, cho mình là trên hết)</font></i></div>","“The man is an egotistical maniac, but I hope he can bring the success he had in business to this country.”<div>“My personality doesn’t suit pursuing a career in music, for that you have to be very egotistical,” Quinn told local newspaper The Liverpool Echo.</div>","<img src=""zoolander-2-16-300x200.jpg"" />","<img src=""paste-16488379449345.jpg"" />"
