id,word,pronounciation,english_meaning,vietnamese_meaning,synonyms,example
1,adolescent,/ˌædəˈlesnt/,teenager,người thiếu niên,,adolescents between the ages of 13 and 18 and the problems they face Stop acting like an adolescent!
2,characteristic,&nbsp;/ˌkærəktəˈrɪstɪk/&nbsp;,a typical feature or quality that something/somebody has,"đặc tính, đặc điểm",,"The two groups of children have quite different characteristics. Personal characteristics, such as age and sex are taken into account."
3,trait,/treɪt/&nbsp;,a particular quality in your personality,"nét, đặc điểm",,personality traits (nét tính cách) Awareness of class is a typically British trait. She shares several character traits with her father.
4,apprehensive,/ˌæprɪˈhensɪv/,worried or frightened that something unpleasant may happen,"sợ hãi, e sợ",,an apprehensive face/glance/look She was deeply apprehensive that something might go wrong. You have no reason to be apprehensive of the future.
5,assertive,/əˈsɜːrtɪv/,"expressing opinions or desires strongly and with confidence, so that people take notice","khẳng định, quả quyết, quyết đoán",,You should try and be more assertive. assertive behaviour
6,clumsy,/ˈklʌmzi/,(of people and animals) moving or doing things in a very awkward way,"vụng, vụng về, lóng ngóng",,I spilt your coffee. Sorry—that was clumsy of me. His clumsy fingers couldn't untie the knot.
7,cynical,/ˈsɪnɪkl/,not believing that something good will happen,hay hoài nghi,,Do you have to be so cynical about everything? a cynical view/smile I'm a bit cynical about the benefits of the plan.
8,desirable,&nbsp;/dɪˈzaɪərəbl/&nbsp;,that you would like to have or do; worth having or doing,"đáng thèm muốn; đáng ao ước, đáng khát khao",,She chatted for a few minutes about the qualities she considered desirable in a secretary. The house has many desirable features.
9,eccentric,/ɪkˈsentrɪk/&nbsp;,a person who is considered by other people to be strange or unusual,"lập dị, kỳ cục",,Most people considered him a harmless eccentric. Aunt Matilda was something of an eccentric.
10,egotistical,ˌēɡəˈtistək(ə)l/,thinking that you are better or more important than anyone else,"tự cao tự đại, cho mình là trên hết",,"“The man is an egotistical maniac, but I hope he can bring the success he had in business to this country.” “My personality doesn’t suit pursuing a career in music, for that you have to be very egotistical,” Quinn told local newspaper The Liverpool Echo."
11,gullible,/ˈɡʌləbl/,too willing to believe or accept what other people tell you and therefore easily tricked,"khờ dại, cả tin, dễ bị lừa",,The advertisement is aimed at gullible young women worried about their weight.
12,idealized,&nbsp;/aɪˈdiːəlaɪz/,to consider or represent somebody/something as being perfect or better than they really are,"lý tưởng hóa, không thực tế",,an idealized view of married life
13,inconsiderate,/ˌɪnkənˈsɪdərət/,not giving enough thought to other people’s feelings or needs,"thiếu ý thức, thiếu chu đáo, thiếu quan tâm, thiếu suy xét",,inconsiderate behaviour It was inconsiderate of you not to call.
14,indecisive,&nbsp;/ˌɪndɪˈsaɪsɪv/,(of a person) unable to make decisions,"do dự, lưỡng lự, không quả quyết, không dứt khoát, không quyết định",,a weak and indecisive man Some blame indecisive leadership for the party’s failure at the polls.
15,self-assured,/ˌself.əˈʃʊrd/,having a lot of confidence in yourself and your abilities,tự tin,,He grew more self-assured as he got older. She looks very self-assured.
16,self-absorbed,/ˌself.əbˈzɔːbd/,only concerned about or interested in yourself,"chỉ liên quan đến mình, chỉ quan tâm đến mình",,What a typical self-absorbed actor!
17,self-centered,/ˌselfˈsen.təd/&nbsp;,tending to think only about yourself and not thinking about the needs or feelings of other people,"ích kỷ, chỉ biết nghĩ cho bản thân",,She’s completely self-centred. Your father’s too self-centred to care what you do.
18,self-congratulatory,/ˌself.kənˈɡrætʃələtɔːri/,praising yourself or saying how well you have done something,tự mình khen mình,,The winners gave themselves a self-congratulatory round of applause.
19,self-deprecating,/ˌselfˈdep.rə.keɪ.t̬ɪŋ/,"done in a way that makes your own achievements or abilities seem unimportant (tự ti, tự hạ thấp mình)",&nbsp;,,He gave a self-deprecating shrug.
20,self-important,/ˌself.ɪmˈpɔːr.təns/,thinking that you are more important than other people,lên mặt ta đây; tự cho là quan trọng,,He was a self-important little man. She was not at all the self-important celebrity I’d read about.
21,tactful,/ˈtæktfl/,careful not to say or do anything that will annoy or upset other people,"khéo xử, lịch thiệp",,That wasn't a very tactful thing to say! I tried to find a tactful way of telling her the truth. It might be more tactful if you didn’t come to the wedding.
22,well-adjusted,/ˌwel əˈdʒʌs.tɪd/,reasonable and has good judgment and their behaviour is not difficult or strange,"bình thường/ổn định về mặt tâm lý, không có chứng rối loạn tâm lý bất thường nào",,The school aims to produce well-adjusted members of society.
23,well-bred,/ˌwel ˈbred/,having or showing good manners; typical of a high social class,"có giáo dục, được nuôi dạy tử tế, biết phép tắc cư xử",,a well-bred young lady She was too well bred to show her disappointment.
24,well-brought-up,/ˌwel brɑːt ˈʌp/,"People, especially children, who are well-br_____ht-up are polite and act in a quiet and pleasant way, because they have been taught this behaviour at home","được nuôi dạy, giáo dục tử tế, con nhà gia giáo",,"Despite the family's problems, the children were well brought up. He was a very well-brought-up young man."
25,well-dressed,/ˌwel ˈdrest/,wearing fashionable or expensive clothes,"ăn mặc hợp thời trang, ăn mặc sang trọng",,This is what today's well-dressed man is wearing. She was always well dressed.
26,era,/ˈerə/,"a period of time, usually in history, that is different from other periods because of particular characteristics or events","thời đại, kỷ nguyên",,"the Victorian/modern/post-war era When she left the firm, it was the end of an era (= things were different after that). a new era of peace"
27,evolution,/ˌevəˈluːʃn/,"(biology) the gradual development of plants, animals, etc. over many years as they adapt to changes in their environment","sự tiến hoá, sự phát triển",,the evolution of the human species Darwin’s theory of evolution
28,find,/faɪnd/,a good or valuable thing or a special person that has been discovered but was not known about before,<i>(vật tìm thấy)</i>,,This café's quite a find - I had no idea there was anywhere like it around here. A recent find of ancient artefacts is on display at the local museum.
29,pioneer,/ˌpaɪəˈnɪr/,"a person who is one of the first people to do something (người đi tiên phong, người đi đầu)",&nbsp;,,a pioneer in the field of microsurgery one of the pioneers of modern science
30,remnant,/ˈremnənt/,"a part of something that is left after the other parts have been used, removed, destroyed, etc. (cái còn lại, vật còn thừa, dấu vết còn lại, tàn dư)",&nbsp;,,The woods are remnants of a huge forest which once covered the whole area. Many of the traditions are remnants of a time when most people worked on the land.
31,in retrospect,/ˈretrəspekt/,"thinking about a past event or situation, often with a different opinion of it from the one you had at the time","nhìn lại thời gian đã qua, hồi tưởng lại về quá khứ",,"In retrospect, I think that I was wrong. The decision seems extremely odd, in retrospect."
32,status quo,/ˌsteɪtəs ˈkwoʊ/,"the situation as it is now, or as it was before a recent change (tình hình hiện tại, tình hình như trước khi diễn ra thay đổi)",&nbsp;,,They wanted a return to the status quo before the war. There are many people who wish to maintain the status quo.
33,transition,/trænˈzɪʃn/,the process or a period of changing from one state or condition to another,"sự chuyển tiếp, sự quá độ",,the transition from school to full-time work He will remain head of state during the period of transition to democracy. We need to ensure a smooth transition between the old system and the new one.
34,trend,&nbsp;/trend/&nbsp;,a general direction in which a situation is changing or developing,"khuynh hướng, xu hướng, chiều hướng",,There is a growing trend towards earlier retirement. current trends in language teaching a downward/an upward trend in sales
35,abrupt,/əˈbrʌpt/,"sudden and unexpected, often in an unpleasant way","bất ngờ, đột ngột; đường đột",,an abrupt change/halt/departure The accident brought his career to an abrupt end.
36,bygone,/ˈbaɪɡɔːn/,happening or existing a long time ago,"quá khứ, qua rồi, cũ kỹ",,"a bygone age/era The family story was that, in bygone days, he had been a rich farmer in Australia. The horse and cart belongs to a bygone era."
37,fleeting,&nbsp;/ˈfliːtɪŋ/,lasting only a short time,"lướt nhanh, thoáng qua; phù du",,a fleeting glimpse/smile a fleeting moment of happiness We paid a fleeting visit to Paris.
38,immense,&nbsp;/ɪˈmens/,extremely large or great,"mênh mông, bao la, rộng lớn",,"There is still an immense amount of work to be done. The benefits are immense. a project of immense importance To my immense relief, he didn’t notice my mistake."
39,infinitesimal,&nbsp;/ˌɪnfɪnɪˈtesɪml/,extremely small,"rất nhỏ, nhỏ vô cùng",,infinitesimal traces of poison an infinitesimal risk
40,moderate,/ˈmɑːdərət/,"that is neither very good, large, hot, etc. nor very bad, small, cold, etc.","vừa phải; phải chăng, có mức độ; điều độ",,students of moderate ability Even moderate amounts of the drug can be fatal. The team enjoyed only moderate success last season. Cook over a moderate heat.
41,periodic,/ˌpɪriˈɑːdɪk/,happening fairly often and regularly,"định kỳ, thường kỳ",,Periodic checks are carried out on the equipment. He makes periodic visits to all the shops which stock his products.
42,preceding,,,,,
43,prehistoric,&nbsp;/ˌpriːhɪˈstɔːrɪk/,connected with the time in history before information was written down,thuộc về thời tiền sử,,in prehistoric times prehistoric man/remains/animals/burial sites
44,profound,&nbsp;/prəˈfaʊnd/,very great; felt or experienced very strongly,"sâu,&nbsp;sâu sắc, uyên thâm, thâm thuý",,profound changes in the earth’s climate My father's death had a profound effect on us all. The news came as a profound shock. The report has profound implications for schools. Her sense of disappointment was profound.
45,rapid,&nbsp;/ˈræpɪd/,"happening in a short period of time, done or happening very quickly (nhanh, nhanh chóng, mau lẹ)",&nbsp;,,rapid change/expansion/growth a rapid rise/decline in sales The patient made a rapid recovery.
46,topical,&nbsp;/ˈtɑːpɪkl/,connected with something that is happening or of interest at the present time,có tính chất thời sự,,a topical joke/reference topical events They met to discuss matters of topical interest. We try and keep the advice topical.
47,tremendous,/trəˈmendəs/,"very great (vĩ đại, hê gớm, khủng khiếp, dữ dội)",&nbsp;,,a tremendous explosion A tremendous amount of work has gone into the project
48,turbulent,/ˈtɜːrbjələnt/,"in which there is a lot of sudden change, confusion, disagreement and sometimes violence","hỗn loạn, náo động",,a short and turbulent career in politics a turbulent part of the world turbulent emotions
49,(be) pressed for time,,to be in a hurry,"đang vội, đang thiếu thời gian",,"I'd love to stop and talk, but I'm pressed for time."
50,have the time of your life,,have an extremely enjoyable experience,vô cùng tận hưởng một trải nghiệm gì đó,,We had the time of our lives at the party.
51,have time on your hands,,"to have nothing to do (có thời gian rảnh, không bận bịu gì)",&nbsp;,,"Gina has some time on her hands, so she is taking a college course."
52,in next to no time,,in a very short time,ngay sắp tới đây,,Organizing the party took next to no time. They completed the job in next to no time.
53,in the blink of an eye,,extremely quickly,xảy ra trong chớp mắt,,"There was a huge ""boom"" and in the blink of an eye the buildings were gone."
54,there aren't enough hours in the day,,There are too many things to do and not enough time,có quá nhiều việc để làm mà không có đủ thời gian,,
55,excavate,/ˈekskəveɪt/,"to dig in the ground to look for old buildings or objects that have been buried for a long time (đào, khai quật)",&nbsp;,,The site has been excavated by archaeologists. The area has not yet been fully excavated.
56,behaviour,/bɪˈheɪvjər/,"the way that somebody behaves, especially towards other people","thái độ, cách đối xử; cách cư xử, cách ăn ở; tư cách đạo đức",,good/bad behaviour social/sexual/criminal behaviour His behaviour towards her was becoming more and more aggressive.
57,demographics,&nbsp;/ˌdeməˈɡræfɪk/,data relating to the population and different groups within it,"liên quan đến nhân khẩu học, đến thống kê dân số",,the demographics of radio listeners
58,heritage,/ˈherɪtɪdʒ/,"the history, traditions and qualities that a country or society has had for many years and that are considered an important part of its character (di sản)",&nbsp;,,Spain’s rich cultural heritage The building is part of our national heritage.
59,interaction,/ˌɪntərˈækʃn/,"the act of communicating with somebody, especially while you work, play or spend time with them","tương tác, sự ảnh hưởng lẫn nhau",,There's not enough interaction between the management and the workers. Language games are usually intended to encourage student interaction. The play follows the interactions of three very different characters.
60,minority,&nbsp;/maɪˈnɔːrəti/,the smaller part of a group; less than half of the people or things in a large group,phần ít; thiểu số,,"Only a small minority of students is/are interested in politics these days. For a minority, the decision was a disappointment. minority shareholders in the bank"
